-217.491;34.6069;-22.9663;-17.93;-21.3;4413.14;8826.28;17652.6;35305.1;70610.2;141220
-217.491;34.6069;-22.9663;-17.93;21.3;4455.74;8911.48;17823;35645.9;71291.8;142584
-217.491;34.6069;-22.9663;17.93;13.86;4484.16;8968.32;17936.6;35873.3;71746.6;143493
-217.491;34.6069;-22.9663;17.93;-13.86;4456.44;8912.88;17825.8;35651.5;71303;142606
-217.491;34.6069;22.9663;51.3375;-11.55;4538.09;9076.18;18152.4;36304.7;72609.4;145219
-217.491;34.6069;22.9663;51.3375;11.55;4561.19;9122.38;18244.8;36489.5;72979;0
-217.491;34.6069;22.9663;-51.3375;26.465;4473.43;8946.86;17893.7;35787.4;71574.9;0
-217.491;34.6069;22.9663;-51.3375;-26.465;4420.5;8841;17682;35364;70728;0
-217.491;-34.6069;-29.6025;-72.03;-10.48;4294.01;8588.02;17176;34352.1;68704.2;0
-217.491;-34.6069;-29.6025;-72.03;10.48;4314.97;8629.94;17259.9;34519.8;0;0
-217.491;-34.6069;-29.6025;72.03;-87.52;4361.03;8722.06;17444.1;34888.2;0;0
-217.491;-34.6069;-29.6025;72.03;87.52;4536.07;9072.14;18144.3;36288.6;0;0
-217.491;-34.6069;29.6025;3.545;-4.65;4434.62;8869.24;17738.5;35477;0;0
-217.491;-34.6069;29.6025;3.545;4.65;4443.92;8887.84;17775.7;35551.4;0;0
-217.491;-34.6069;29.6025;-3.545;-50.36;4381.82;8763.64;17527.3;35054.6;0;0
-217.491;-34.6069;29.6025;-3.545;50.36;4482.54;8965.08;17930.2;35860.3;0;0
217.491;-107.663;-102.509;-60.505;-16.735;4588.3;9176.6;18353.2;36706.4;0;0
217.491;-107.663;-102.509;-60.505;16.735;4621.77;9243.54;18487.1;0;0;0
217.491;-107.663;-102.509;60.505;-7.935;4718.11;9436.22;18872.4;0;0;0
217.491;-107.663;-102.509;60.505;7.935;4733.98;9467.96;18935.9;0;0;0
217.491;-107.663;102.509;-82.2575;-11.58;4776.72;9553.44;19106.9;0;0;0
217.491;-107.663;102.509;-82.2575;11.58;4799.88;9599.76;19199.5;0;0;0
217.491;-107.663;102.509;82.2575;-41.365;4911.45;9822.9;19645.8;0;0;0
217.491;-107.663;102.509;82.2575;41.365;4994.18;9988.36;19976.7;0;0;0
217.491;107.663;148.418;-21.6825;-49.19;5060.92;10121.8;20243.7;0;0;0
217.491;107.663;148.418;-21.6825;49.19;5159.3;10318.6;20637.2;0;0;0
217.491;107.663;148.418;21.6825;33.615;5187.09;10374.2;20748.4;0;0;0
217.491;107.663;148.418;21.6825;-33.615;5119.86;10239.7;20479.4;0;0;0
217.491;107.663;-148.418;15.0725;75.92;4925.95;9851.9;19703.8;0;0;0
217.491;107.663;-148.418;15.0725;-75.92;4774.11;9548.22;19096.4;0;0;0
217.491;107.663;-148.418;-15.0725;-102.905;4716.98;9433.96;18867.9;0;0;0
217.491;107.663;-148.418;-15.0725;102.905;4922.79;9845.58;19691.2;0;0;0
-18.9834;-21.0206;9.0025;1.3325;-12.865;4952.57;9905.14;19810.3;0;0;0
-18.9834;-21.0206;9.0025;1.3325;12.865;4978.3;9956.6;19913.2;0;0;0
-18.9834;-21.0206;9.0025;-1.3325;34.76;4997.53;9995.06;0;0;0;0
-18.9834;-21.0206;9.0025;-1.3325;-34.76;4928.01;9856.02;0;0;0;0
-18.9834;-21.0206;-9.0025;33.1575;-6.375;4972.88;9945.76;0;0;0;0
-18.9834;-21.0206;-9.0025;33.1575;6.375;4985.63;9971.26;0;0;0;0
-18.9834;-21.0206;-9.0025;-33.1575;-52.78;4860.16;9720.32;0;0;0;0
-18.9834;-21.0206;-9.0025;-33.1575;52.78;4965.72;9931.44;0;0;0;0
-18.9834;21.0206;-59.8662;-14.19;-35.855;4887.23;9774.46;0;0;0;0
-18.9834;21.0206;-59.8662;-14.19;35.855;4958.94;9917.88;0;0;0;0
-18.9834;21.0206;-59.8662;14.19;-11.665;4939.8;9879.6;0;0;0;0
-18.9834;21.0206;-59.8662;14.19;11.665;4963.13;9926.26;0;0;0;0
-18.9834;21.0206;59.8662;27.5775;-27.915;5056.67;10113.3;0;0;0;0
-18.9834;21.0206;59.8662;27.5775;27.915;5112.5;10225;0;0;0;0
-18.9834;21.0206;59.8662;-27.5775;24.61;5054.04;10108.1;0;0;0;0
-18.9834;21.0206;59.8662;-27.5775;-24.61;5004.82;10009.6;0;0;0;0
18.9834;8.87875;-44.2637;-29.6375;57.455;5006.52;10013;0;0;0;0
18.9834;8.87875;-44.2637;-29.6375;-57.455;4891.61;9783.22;0;0;0;0
18.9834;8.87875;-44.2637;29.6375;17.86;5026.2;10052.4;0;0;0;0
18.9834;8.87875;-44.2637;29.6375;-17.86;4990.48;9980.96;0;0;0;0
18.9834;8.87875;44.2637;-6.01;-15.3;5045.92;10091.8;0;0;0;0
18.9834;8.87875;44.2637;-6.01;15.3;5076.52;10153;0;0;0;0
18.9834;8.87875;44.2637;6.01;14.76;5088;10176;0;0;0;0
18.9834;8.87875;44.2637;6.01;-14.76;5058.48;10117;0;0;0;0
18.9834;-8.87875;61.4688;47.4525;15.65;5129.78;10259.6;0;0;0;0
18.9834;-8.87875;61.4688;47.4525;-15.65;5098.48;10197;0;0;0;0
18.9834;-8.87875;61.4688;-47.4525;45.495;5064.72;10129.4;0;0;0;0
18.9834;-8.87875;61.4688;-47.4525;-45.495;4973.73;9947.46;0;0;0;0
18.9834;-8.87875;-61.4688;-6.54;7.1;4944.3;9888.6;0;0;0;0
18.9834;-8.87875;-61.4688;-6.54;-7.1;4930.1;9860.2;0;0;0;0
18.9834;-8.87875;-61.4688;6.54;-1.8;4948.48;9896.96;0;0;0;0
18.9834;-8.87875;-61.4688;6.54;1.8;4952.08;9904.16;0;0;0;0
-40.3544;-41.1031;-20.5337;-39.83;34.59;4866.24;9732.48;0;0;0;0
-40.3544;-41.1031;-20.5337;-39.83;-34.59;4797.06;9594.12;0;0;0;0
-40.3544;-41.1031;-20.5337;39.83;-5.65;4905.66;9811.32;0;0;0;0
-40.3544;-41.1031;-20.5337;39.83;5.65;4916.96;9833.92;0;0;0;0
-40.3544;-41.1031;20.5337;-16.2925;23.155;4919.41;0;0;0;0;0
-40.3544;-41.1031;20.5337;-16.2925;-23.155;4873.1;0;0;0;0;0
-40.3544;-41.1031;20.5337;16.2925;-23.57;4905.27;0;0;0;0;0
-40.3544;-41.1031;20.5337;16.2925;23.57;4952.41;0;0;0;0;0
-40.3544;41.1031;41.9525;20.4025;-18.845;5017.73;0;0;0;0;0
-40.3544;41.1031;41.9525;20.4025;18.845;5055.42;0;0;0;0;0
-40.3544;41.1031;41.9525;-20.4025;23.18;5018.95;0;0;0;0;0
-40.3544;41.1031;41.9525;-20.4025;-23.18;4972.59;0;0;0;0;0
-40.3544;41.1031;-41.9525;11.1175;8.595;4951.98;0;0;0;0;0
-40.3544;41.1031;-41.9525;11.1175;-8.595;4934.79;0;0;0;0;0
-40.3544;41.1031;-41.9525;-11.1175;-6.46;4914.69;0;0;0;0;0
-40.3544;41.1031;-41.9525;-11.1175;6.46;4927.61;0;0;0;0;0
40.3544;-9.78187;-0.12875;-18.03;-37.175;4948.71;0;0;0;0;0
40.3544;-9.78187;-0.12875;-18.03;37.175;5023.06;0;0;0;0;0
40.3544;-9.78187;-0.12875;18.03;-30.315;4991.63;0;0;0;0;0
40.3544;-9.78187;-0.12875;18.03;30.315;5052.26;0;0;0;0;0
40.3544;-9.78187;0.12875;32.1525;-5.015;5031.31;0;0;0;0;0
40.3544;-9.78187;0.12875;32.1525;5.015;5041.34;0;0;0;0;0
40.3544;-9.78187;0.12875;-32.1525;2.4;4974.42;0;0;0;0;0
40.3544;-9.78187;0.12875;-32.1525;-2.4;4969.62;0;0;0;0;0
40.3544;9.78187;-3.0875;4.145;49.975;5074.64;0;0;0;0;0
40.3544;9.78187;-3.0875;4.145;-49.975;4974.69;0;0;0;0;0
40.3544;9.78187;-3.0875;-4.145;-36.505;4979.87;0;0;0;0;0
40.3544;9.78187;-3.0875;-4.145;36.505;5052.88;0;0;0;0;0
40.3544;9.78187;3.0875;-16.725;-29.51;4980.46;0;0;0;0;0
40.3544;9.78187;3.0875;-16.725;29.51;5039.48;0;0;0;0;0
40.3544;9.78187;3.0875;16.725;-28.45;5014.97;0;0;0;0;0
40.3544;9.78187;3.0875;16.725;28.45;5071.87;0;0;0;0;0
-4.59156;58.8756;104.36;20.205;-4.425;5056.9;0;0;0;0;0
-4.59156;58.8756;104.36;20.205;4.425;5065.75;0;0;0;0;0
-4.59156;58.8756;104.36;-20.205;-15.025;5005.89;0;0;0;0;0
-4.59156;58.8756;104.36;-20.205;15.025;5035.94;0;0;0;0;0
-4.59156;58.8756;-104.36;47.265;70.095;4949.76;0;0;0;0;0
-4.59156;58.8756;-104.36;47.265;-70.095;4809.57;0;0;0;0;0
-4.59156;58.8756;-104.36;-47.265;39.035;4824.17;0;0;0;0;0
-4.59156;58.8756;-104.36;-47.265;-39.035;4746.1;0;0;0;0;0
-4.59156;-58.8756;-22.2563;-16.2775;-25.665;4754.81;0;0;0;0;0
-4.59156;-58.8756;-22.2563;-16.2775;25.665;4806.14;0;0;0;0;0
-4.59156;-58.8756;-22.2563;16.2775;19.84;4832.87;0;0;0;0;0
-4.59156;-58.8756;-22.2563;16.2775;-19.84;4793.19;0;0;0;0;0
-4.59156;-58.8756;22.2563;-31.45;40.385;4850.2;0;0;0;0;0
-4.59156;-58.8756;22.2563;-31.45;-40.385;4769.43;0;0;0;0;0
-4.59156;-58.8756;22.2563;31.45;-9.085;4863.63;0;0;0;0;0
-4.59156;-58.8756;22.2563;31.45;9.085;4881.8;0;0;0;0;0
4.59156;36.3025;-4.155;-19.725;-11;4888.49;0;0;0;0;0
4.59156;36.3025;-4.155;-19.725;11;4910.49;0;0;0;0;0
4.59156;36.3025;-4.155;19.725;-13.53;4925.41;0;0;0;0;0
4.59156;36.3025;-4.155;19.725;13.53;4952.47;0;0;0;0;0
4.59156;36.3025;4.155;38.96;9.795;4976.28;0;0;0;0;0
4.59156;36.3025;4.155;38.96;-9.795;4956.69;0;0;0;0;0
4.59156;36.3025;4.155;-38.96;-15.535;4873.03;0;0;0;0;0
4.59156;36.3025;4.155;-38.96;15.535;4904.1;0;0;0;0;0
4.59156;-36.3025;65.2425;28.1225;11.26;4955.39;0;0;0;0;0
4.59156;-36.3025;65.2425;28.1225;-11.26;4932.87;0;0;0;0;0
4.59156;-36.3025;65.2425;-28.1225;57.445;4945.33;0;0;0;0;0
4.59156;-36.3025;65.2425;-28.1225;-57.445;4830.44;0;0;0;0;0
4.59156;-36.3025;-65.2425;58.4375;-0.68;4843.28;0;0;0;0;0
4.59156;-36.3025;-65.2425;58.4375;0.68;4844.64;0;0;0;0;0
4.59156;-36.3025;-65.2425;-58.4375;91.895;4818.98;0;0;0;0;0
4.59156;-36.3025;-65.2425;-58.4375;-91.895;4635.19;0;0;0;0;0
1034.56;2069.13;474.071;-67.0775;25.88;4571.13;0;0;0;0;0
1034.56;2069.13;474.071;-67.0775;-25.88;4519.37;0;0;0;0;0
1034.56;2069.13;474.071;67.0775;-64.455;4614.95;0;0;0;0;0
1034.56;2069.13;474.071;67.0775;64.455;4743.86;0;0;0;0;0
1034.56;2069.13;-474.071;1182.05;-109.78;4736.46;0;0;0;0;0
1034.56;2069.13;-474.071;1182.05;109.78;4956.02;0;0;0;0;0
1034.56;2069.13;-474.071;-1182.05;2482.13;4964.26;0;0;0;0;0
1034.56;2069.13;-474.071;-1182.05;-2482.13;0;0;0;0;0;0
